"SPECIES_CODE"	"species" "FL.from.TL.intercept" "FL.from.TL.slope" "TL.from.FL.intercept" "TL.from.FL.slope" "wt.from.FL.intercept" "wt.from.FL.slope" "wt.from.TL.intercept" "wt.from.TL.slope"
"BBH"	"Black Bullhead" -5.87634302612121 1.01287990800066 6.15546889982738 0.985328901105926 -4.7923029243545 2.95685794084352 -4.83555431901093 2.91089127350526
"BHS"	"Bluehead Sucker" -1.34330679958951 0.939427292313277 1.91859866848356 1.06199707535982 -5.03141143383359 3.02083765434992 -5.17041278060515 3.04267289894743
"BNT"	"Brown Trout" -5.48494666234869 0.974286786260459 5.8192106964029 1.02559931917201 -4.858536564811 2.97438695061747 -4.9960980158122 2.98692491857673
"CCF"	"Channel Catfish" -5.56428499475265 0.900170190423991 6.98997304206276 1.10772594273397 -4.7923029243545 2.95685794084352 -4.83555431901093 2.91089127350526
"CRP"	"Common Carp" -3.92453898326038 0.905782566013541 6.9982252384979 1.09787322951353 -4.41472040876942 2.88262018817678 -4.33298127407705 2.79822166624303
"FBH"	"Flannelmouth-Bluehead Sucker hybrid" -8.69746669056592 0.956571838271068 9.34802654471341 1.0445549783765 -4.90012243670674 2.96360807267593 -4.90487660920243 2.92910159865844
"FHM"	"Fathead Minnow" -0.232605162695943 0.942178115151711 1.26397758966478 1.04395955972415 -5.13935094866932 3.1447595162079 -4.60041830570748 2.79585651267712
"FMS"	"Flannelmouth Sucker" -2.72817853764616 0.951142846867349 3.01122735377068 1.05078086023074 -5.09495820025736 3.03914449658207 -5.20886852921077 3.05397456014156
"FRH"	"Flannelmouth-Razorback Sucker hybrid" -2.92464467685703 0.941187315634218 4.58922476380861 1.05894887702955 -5.65689399605457 3.2506025276857 -5.89990967463778 3.30622323898968
"GSF"	"Green Sunfish"	-0.55263843823875 0.976726976394419 0.793462184452665 1.02156188112607 -5.23963531110018 3.27342314819787 -5.37865748237245 3.31647054029619
"HBC"	"Humpback Chub" -0.278294906454543 0.895174600859157 0.470257729438791 1.11564025527262 -5.05999869497117 3.0449909461489 -5.24242525319151 3.06135983032367
"RBT"	"Rainbow Trout" -1.22115274791823 0.938335218125817 1.57135596946044 1.06449630256315 -4.69183609908108 2.87807320560555 -4.72309336017611 2.86039067664684
"SPD"	"Speckled Dace" -0.113653851539803 0.926629327046386 0.66503422849361 1.07065724585429 -4.98764832473994 3.00816692588865 -5.42922097751033 3.17990335114575
"STB"	"Striped Bass" -0.145205553136673 0.927785761671963 0.20026861855213 1.07765285502256 -4.71463868720077 2.90075571596706 -4.80889942454615 2.90024414730374
"WAL"	"Walleye" -20.474628186366 0.991389579008269 25.5014385532263 0.997739416358406 -6.46962819500015 3.57579761505435 -7.79692787630648 4.04298163269786
"YBH"	"Yellow Bullhead" -0.93291378337445 0.983233049211488 3.6146348549225 1.00187747394415 -4.7923029243545 2.95685794084352 -4.83555431901093 2.91089127350526
"GZD"	"Gizzard Shad" NA NA NA NA -5.23100956672956 3.15425103971702 -5.92778723937628 3.35167712378414
"PKF"	"Plains Killifish" 0 1 0 1 -5.2130846622087 3.11772291859884 -5.2130846622087 3.11772291859884
"SUC"	"Unidentified Sucker" -2.72817853764616 0.951142846867349 3.01122735377068 1.05078086023074 -5.09495820025736 3.03914449658207 -5.20886852921077 3.05397456014156
"BGS"	"Bluegill" NA NA NA NA -5.23963531110018 3.27342314819787 -5.37865748237245 3.31647054029619
"SMB"	"Smallmouth Bass" NA NA NA NA -4.71463868720077 2.90075571596706 -4.80889942454615 2.90024414730374
